date,^FTSE
2018-08-27,7617.22
2018-08-28,7563.21
2018-08-29,7516.03
2018-08-30,7432.42
2018-09-02,7504.6
2018-09-03,7457.86
2018-09-04,7383.28
2018-09-05,7318.96
2018-09-06,7277.7
2018-09-09,7279.3
2018-09-10,7273.54
2018-09-11,7313.36
2018-09-12,7281.57
2018-09-13,7304.04
2018-09-16,7302.1
2018-09-17,7300.23
2018-09-18,7331.12
2018-09-19,7367.32
2018-09-20,7490.23
2018-09-23,7458.41
2018-09-24,7507.56
2018-09-25,7511.49
2018-09-26,7545.44
2018-09-27,7510.2
2018-09-30,7495.67
2018-10-01,7474.55
2018-10-02,7510.28
2018-10-03,7418.34
2018-10-04,7318.54
2018-10-07,7233.33
2018-10-08,7237.59
2018-10-09,7145.74
2018-10-10,7006.93
2018-10-11,6995.91
2018-10-14,7029.22
2018-10-15,7059.4
2018-10-16,7054.6
2018-10-17,7026.99
2018-10-18,7049.8
2018-10-21,7042.8
2018-10-22,6955.21
2018-10-23,6962.98
2018-10-24,7004.1
2018-10-25,6939.56
2018-10-29,7026.32
2018-10-30,7035.85
2018-10-31,7128.1
2018-11-01,7114.66
2018-11-02,7094.12
2018-11-05,7103.84
2018-11-06,7040.68
2018-11-07,7117.28
2018-11-08,7140.68
2018-11-09,7105.34
2018-11-12,7053.08
2018-11-13,7053.76
2018-11-14,7033.79
2018-11-15,7038.01
2018-11-16,7013.88
2018-11-19,7000.89
2018-11-20,6947.92
2018-11-21,7050.23
2018-11-22,6960.32
2018-11-23,6952.86
2018-11-26,7036.0
2018-11-27,7016.85
2018-11-28,7004.52
2018-11-29,7038.95
2018-11-30,6980.24
2018-12-03,7062.41
2018-12-04,7022.76
2018-12-05,6921.84
2018-12-06,6704.05
2018-12-07,6778.11
2018-12-10,6721.54
2018-12-11,6806.94
2018-12-12,6880.19
2018-12-13,6877.5
2018-12-14,6845.17
2018-12-17,6773.24
2018-12-18,6701.59
2018-12-19,6765.94
2018-12-20,6711.93
2018-12-21,6721.17
2018-12-24,6685.99
2018-12-27,6584.68
2018-12-28,6733.97
2018-12-31,6728.13
2019-01-02,6734.23
2019-01-03,6692.66
2019-01-04,6837.42
2019-01-07,6810.88
2019-01-08,6861.6
2019-01-09,6906.63
2019-01-10,6942.87
2019-01-11,6918.18
2019-01-14,6855.02
2019-01-15,6895.02
2019-01-16,6862.68
2019-01-17,6834.92
2019-01-18,6968.33
2019-01-21,6970.59
2019-01-22,6901.39
2019-01-23,6842.88
2019-01-24,6818.95
2019-01-25,6809.22
2019-01-28,6747.1
2019-01-29,6833.93
2019-01-30,6941.63
2019-01-31,6968.85
2019-02-01,7020.22
2019-02-04,7034.13
2019-02-05,7177.37
2019-02-06,7173.09
2019-02-07,7093.58
2019-02-08,7071.18
2019-02-11,7129.11
2019-02-12,7133.14
2019-02-13,7190.84
2019-02-14,7197.01
2019-02-15,7236.68
2019-02-18,7219.47
2019-02-19,7179.17
2019-02-20,7228.62
2019-02-21,7167.39
2019-02-22,7178.6
2019-02-25,7183.74
2019-02-26,7151.12
2019-02-27,7107.2
2019-02-28,7074.73
2019-03-01,7106.73
2019-03-04,7134.39
2019-03-05,7183.43
2019-03-06,7196.0
2019-03-07,7157.55
2019-03-08,7104.31
2019-03-11,7130.62
2019-03-12,7151.15
2019-03-13,7159.19
2019-03-14,7185.43
2019-03-15,7228.28
2019-03-18,7299.19
2019-03-19,7324.0
2019-03-20,7291.01
2019-03-21,7355.31
2019-03-22,7207.59
2019-03-25,7177.58
2019-03-26,7196.29
2019-03-27,7194.19
2019-03-28,7234.33
2019-03-29,7279.19
2019-03-31,7317.38
2019-04-01,7391.12
2019-04-02,7418.28
2019-04-03,7401.94
2019-04-04,7446.87
2019-04-07,7451.89
2019-04-08,7425.57
2019-04-09,7421.91
2019-04-10,7417.95
2019-04-11,7437.06
2019-04-14,7436.87
2019-04-15,7469.92
2019-04-16,7471.32
2019-04-17,7459.88
2019-04-22,7523.07
2019-04-23,7471.75
2019-04-24,7434.13
2019-04-25,7428.19
2019-04-28,7440.66
2019-04-29,7418.22
2019-04-30,7385.26
2019-05-01,7351.31
2019-05-02,7380.64
2019-05-06,7260.47
2019-05-07,7271.0
2019-05-08,7207.41
2019-05-09,7203.29
2019-05-12,7163.68
2019-05-13,7241.6
2019-05-14,7296.95
2019-05-15,7353.51
2019-05-16,7348.62
2019-05-19,7310.88
2019-05-20,7328.92
2019-05-21,7334.19
2019-05-22,7231.04
2019-05-23,7277.73
2019-05-27,7268.95
2019-05-28,7185.3
2019-05-29,7218.16
2019-05-30,7161.71
2019-06-02,7184.8
2019-06-03,7214.29
2019-06-04,7220.22
2019-06-05,7259.85
2019-06-06,7331.94
2019-06-09,7375.54
2019-06-10,7398.45
2019-06-11,7367.62
2019-06-12,7368.57
2019-06-13,7345.78
2019-06-16,7357.31
2019-06-17,7443.04
2019-06-18,7403.54
2019-06-19,7424.44
2019-06-20,7407.5
2019-06-23,7416.69
2019-06-24,7422.43
2019-06-25,7416.39
2019-06-26,7402.33
2019-06-27,7425.63
2019-06-30,7497.5
2019-07-01,7559.19
2019-07-02,7609.32
2019-07-03,7603.58
2019-07-04,7553.14
2019-07-07,7549.27
2019-07-08,7536.47
2019-07-09,7530.69
2019-07-10,7509.82
2019-07-11,7505.97
2019-07-14,7531.72
2019-07-15,7577.2
2019-07-16,7535.46
2019-07-17,7493.09
2019-07-18,7508.7
2019-07-21,7514.93
2019-07-22,7556.86
2019-07-23,7501.46
2019-07-24,7489.05
2019-07-25,7549.06
2019-07-28,7686.61
2019-07-29,7646.77
2019-07-30,7586.78
2019-07-31,7584.87
2019-08-01,7407.06
2019-08-04,7223.85
2019-08-05,7171.69
2019-08-06,7198.7
2019-08-07,7285.9
2019-08-08,7253.85
2019-08-11,7226.72
2019-08-12,7250.9
2019-08-13,7147.88
2019-08-14,7067.01
2019-08-15,7117.15
2019-08-18,7189.65
2019-08-19,7125.0
2019-08-20,7203.97
2019-08-21,7128.18
2019-08-22,7094.98
2019-08-26,7089.58
2019-08-27,7114.71
2019-08-28,7184.32
2019-08-29,7207.18
2019-09-01,7281.94
2019-09-02,7268.19
2019-09-03,7311.26
2019-09-04,7271.17
2019-09-05,7282.34
2019-09-08,7235.81
2019-09-09,7267.95
2019-09-10,7338.03
2019-09-11,7344.67
2019-09-12,7367.46
2019-09-15,7321.41
2019-09-16,7320.4
2019-09-17,7314.05
2019-09-18,7356.42
2019-09-19,7344.92
2019-09-22,7326.08
2019-09-23,7291.43
2019-09-24,7289.99
2019-09-25,7351.08
2019-09-26,7426.21
2019-09-29,7408.21
2019-09-30,7360.32
2019-10-01,7122.54
2019-10-02,7077.64
2019-10-03,7155.38
2019-10-06,7197.88
2019-10-07,7143.15
2019-10-08,7166.5
2019-10-09,7186.36
2019-10-10,7247.08
2019-10-13,7213.45
2019-10-14,7211.64
2019-10-15,7167.95
2019-10-16,7182.32
2019-10-17,7150.57
2019-10-20,7163.64
2019-10-21,7212.49
2019-10-22,7260.74
2019-10-23,7328.25
2019-10-24,7324.47
2019-10-28,7331.28
2019-10-29,7306.26
2019-10-30,7330.78
2019-10-31,7248.38
2019-11-01,7302.42
2019-11-04,7369.69
2019-11-05,7388.08
2019-11-06,7396.65
2019-11-07,7406.41
2019-11-08,7359.38
2019-11-11,7328.54
2019-11-12,7365.44
2019-11-13,7351.21
2019-11-14,7292.76
2019-11-15,7302.94
2019-11-18,7307.7
2019-11-19,7323.8
2019-11-20,7262.49
2019-11-21,7238.55
2019-11-22,7326.81
2019-11-25,7396.29
2019-11-26,7403.14
2019-11-27,7429.78
2019-11-28,7416.43
2019-11-29,7346.53
2019-12-02,7285.94
2019-12-03,7158.76
2019-12-04,7188.5
2019-12-05,7137.85
2019-12-06,7239.66
2019-12-09,7233.9
2019-12-10,7213.76
2019-12-11,7216.25
2019-12-12,7273.47
2019-12-13,7353.44
2019-12-16,7519.05
2019-12-17,7525.28
2019-12-18,7540.75
2019-12-19,7573.82
2019-12-20,7582.48
2019-12-23,7623.59
2019-12-24,7632.24
2019-12-27,7644.9
2019-12-30,7587.05
2019-12-31,7542.44
2020-01-02,7604.3
2020-01-03,7622.4
2020-01-06,7575.34
2020-01-07,7573.85
2020-01-08,7574.93
2020-01-09,7598.12
2020-01-10,7587.85
2020-01-13,7617.6
2020-01-14,7622.35
2020-01-15,7642.8
2020-01-16,7609.81
2020-01-17,7674.56
2020-01-20,7651.44
2020-01-21,7610.7
2020-01-22,7571.92
2020-01-23,7507.67
2020-01-24,7585.98
2020-01-27,7412.05
2020-01-28,7480.69
2020-01-29,7483.57
2020-01-30,7381.96
2020-01-31,7286.01
2020-02-03,7326.31
2020-02-04,7439.82
2020-02-05,7482.48
2020-02-06,7504.79
2020-02-07,7466.7
2020-02-10,7446.88
2020-02-11,7499.44
2020-02-12,7534.37
2020-02-13,7452.03
2020-02-14,7409.13
